WJSpecID,Scientific,ScientificGenus,English,help1,help2,EnglishGenus,2010 IUCN Red List category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder
265,Francolinus levaillantoides,Francolinus,Orange River Francolin,7,13,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
267,Francolinus nahani,Francolinus,Nahan's Francolin,8,#VALUE!,Francolin,EN,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
268,Francolinus hartlaubi,Francolinus,Hartlaub's Francolin,11,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
269,Francolinus bicalcaratus,Francolinus,Double-spurred Francolin,15,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
270,Francolinus clappertoni,Francolinus,Clapperton's Francolin,13,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
271,Francolinus icterorhynchus,Francolinus,Heuglin's Francolin,10,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
272,Francolinus harwoodi,Francolinus,Harwood's Francolin,10,#VALUE!,Francolin,VU,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
273,Francolinus adspersus,Francolinus,Red-billed Francolin,11,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
274,Francolinus capensis,Francolinus,Cape Francolin,5,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
275,Francolinus hildebrandti,Francolinus,Hildebrandt's Francolin,14,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
276,Francolinus natalensis,Francolinus,Natal Francolin,6,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
277,Francolinus ahantensis,Francolinus,Ahanta Francolin,7,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
278,Francolinus squamatus,Francolinus,Scaly Francolin,6,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
279,Francolinus griseostriatus,Francolinus,Grey-striped Francolin,13,#VALUE!,Francolin,NT,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
280,Francolinus leucoscepus,Francolinus,Yellow-necked Spurfowl,14,#VALUE!,Spurfowl,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
281,Francolinus rufopictus,Francolinus,Grey-breasted Spurfowl,14,#VALUE!,Spurfowl,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
